Gene,Half_Life
YKR032W,156.43663897181068
YJL163C,156.347791180302
YMR316C-A,156.13631130109903
YDR327W,155.95886102786415
YMR252C,155.2528158838834
YDL027C,154.93061870354617
YCR022C,154.7919790685311
YGR226C,154.72622365310775
YBR203W,154.59165482488083
YLR156W,154.4885379534793
YLR013W,153.21102516402203
YDR374C,153.11187937949677
YEL057C,152.98190354304887
YHL041W,152.75611347373302
YLR070C,151.84701188044573
YJL107C,151.6746319941559
YGR290W,151.66528111188305
YER067W,150.7642356701062
YAL005C,150.73797638170635
YGR127W,150.38131552285395
YFR044C,150.07745309672063
YML005W,149.75668248689013
YOR107W,149.1067259213673
YFL010W-A,148.9495333716918
Q0140,148.46888349807432
YDR070C,148.14468353263774
YML047C,147.68953748254637
YPL275W,146.81043971642293
YNL009W,144.67887294915184
YPL119C,144.59546823233353
YJR078W,143.74335838139032
YCR025C,143.314874041635
YLR304C,143.15551742162953
YHR096C,142.9936158012063
YDL204W,142.76367563865506
YGR178C,142.74172040712708
YML117W-A,142.37816812451487
YDR336W,142.14810167520406
YKR098C,142.03889803760157
YMR159C,142.0107371818396
YLR279W,141.78160160198516
YOR072W,141.4182378246032
YDR204W,140.90574679526705
YKR102W,140.16109242378897
YLL060C,139.96038422211788
YDR340W,139.66183809506484
YBR067C,139.44436738252116
YOR389W,139.31578114654815
YMR294W,139.21094542865603
YLR302C,139.16062682627378
YOL083W,138.9333051542865
YOL037C,138.51104771839601
YDR358W,138.06757528697028
YDR380W,137.57735771413198
YMR278W,137.41975296723413
YKR046C,137.08148291820706
YNL007C,136.97033968605558
YDR198C,136.71927150825542
YML013C-A,136.67628153107984
YER044C-A,136.57777600943854
YNL013C,136.52957034298433
YLR446W,136.3135314119577
YOL128C,136.2548795762561
YEL004W,136.07544759625625
YOL107W,134.8465553453373
YOR018W,134.63218731748097
YBR214W,134.54331793174785
Q0275,134.53556876880197
YOL015W,134.2150901967659
YGR256W,134.08972224222904
YBR145W,134.06967070765822
YFL017W-A,133.90941378811195
YDR171W,133.7873509597266
YDL199C,133.34289161415631
YOR379C,132.5738234774218
YBR174C,132.47169272174804
YDR168W,131.62858825093954
YPL148C,131.58444501060194
YHR087W,130.7371878891377
YCL042W,130.67262812540608
YNL202W,130.6108378959613
YAL004W,130.5300233036578
YDR281C,130.33175361014938
YDR516C,130.16577922146462
YPR066W,130.14101910181543
YJL214W,129.86773515947326
YCR018C,128.67897284275725
YDL091C,128.54417564971516
YGL205W,128.29696402083076
YAL002W,128.1743450674338
YNR002C,127.63194469475138
YEL039C,127.27756557208257
YJL216C,127.10284195640101
YBR085W,126.85517438315817
YMR268C,126.48982395758334
YHR079C-A,126.46333376172693
YIR038C,126.08980017786261
YOR024W,126.02528253817395
YBR026C,125.64313972630067
YDR273W,125.62712958323931
YPR149W,125.015144459008
YIL086C,124.95376769073988
YER135C,124.55713578392566
YHL043W,124.27411384624449
YNL208W,124.24107713586163
YKL107W,124.07743850444841
YGR209C,124.01904172336818
YJL086C,123.88299290229372
YNL055C,122.87573378961362
YDR513W,122.85939186412737
YLR416C,122.71456403975525
YNR075W,122.63950478000129
YMR180C,122.39153985218508
YDR525W,122.23975525209539
YGR130C,121.84461657948737
YLR157C,121.5006965296351
YOR028C,121.17900404477876
YLR217W,120.92626029955606
YBR167C,120.78212946100011
YJR149W,120.7171183063391
YAL017W,120.44035404475373
YDR095C,120.27874869020305
YBR101C,120.25075001279806
YOR134W,120.11776152478484
YGR263C,120.0014925702866
Q0065,119.96448226693508
YGR212W,119.96266457698646
YMR158W-A,119.94723390010053
YDR241W,119.86604532354916
YCL039W,119.69670238989956
YDR424C,119.53037902277659
YOL116W,119.4722559284776
YKR076W,119.44328924880274
YLR035C,119.42506828816927
